Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

HAT_RUNTIME_OK model=eye_wizard id=hat_yellow_point width=1.098 height=1.158 socket=(0.000283, 1.933621, -0.009181) center=(-0.024717, 1.91787, 0.199504)
HAT_MODEL_BOUNDS model=mr_mushroom center=(-1.676589, 0.002419, -0.004113) size=(5.684583, 4.816346, 3.146927) socket=(0.002419, 3.20287, 0.013478)
HAT_RUNTIME_OK model=mr_mushroom id=beta_s1_ace_hat width=2.390 height=1.265 socket=(0.002419, 3.20287, 0.013478) center=(-0.05767, 3.500556, -0.069464)
HAT_RUNTIME_OK model=mr_mushroom id=beta_s1_level_30_hat width=1.580 height=0.845 socket=(0.002419, 3.20287, 0.013478) center=(-0.042581, 3.100561, 0.163478)
HAT_RUNTIME_OK model=mr_mushroom id=hat_chef width=1.478 height=1.566 socket=(0.002419, 3.20287, 0.013478) center=(-0.042581, 3.808379, 0.121894)
HAT_RUNTIME_OK model=mr_mushroom id=hat_cowboy_classic width=2.031 height=0.594 socket=(0.002419, 3.20287, 0.013478) center=(-0.027335, 3.405391, 0.123269)
HAT_RUNTIME_OK model=mr_mushroom id=hat_cowboy_wide width=2.280 height=0.551 socket=(0.002419, 3.20287, 0.013478) center=(-0.062581, 3.248287, 0.113478)
HAT_RUNTIME_OK model=mr_mushroom id=hat_crown width=1.990 height=1.690 socket=(0.002419, 3.20287, 0.013478) center=(-0.042581, 3.747657, 0.013478)
HAT_RUNTIME_OK model=mr_mushroom id=hat_fedora_black width=1.956 height=0.861 socket=(0.002419, 3.20287, 0.013478) center=(-0.012581, 3.283884, -0.002936)
HAT_RUNTIME_OK model=mr_mushroom id=hat_fedora_white width=1.570 height=0.687 socket=(0.002419, 3.20287, 0.013478) center=(-0.017581, 3.421303, 0.078478)
HAT_RUNTIME_OK model=mr_mushroom id=hat_straw_adventurer width=1.660 height=0.508 socket=(0.002419, 3.20287, 0.013478) center=(-0.037581, 3.386793, 0.093478)
HAT_RUNTIME_OK model=mr_mushroom id=hat_top width=1.668 height=1.089 socket=(0.002419, 3.20287, 0.013478) center=(-0.034629, 3.472367, 0.128478)
HAT_RUNTIME_OK model=mr_mushroom id=hat_witch width=2.000 height=1.302 socket=(0.002419, 3.20287, 0.013478) center=(-0.058161, 3.608967, 0.089876)
HAT_RUNTIME_OK model=mr_mushroom id=hat_yellow_point width=1.762 height=1.930 socket=(0.002419, 3.20287, 0.013478) center=(-0.057581, 3.590235, 0.213694)
HAT_MODEL_BOUNDS model=mr_poop center=(-0.874395, 0.000023, -0.050485) size=(4.37255, 7.066066, 2.754654) socket=(0.000022, 1.89634, -0.02012)
HAT_RUNTIME_OK model=mr_poop id=beta_s1_ace_hat width=1.265 height=0.670 socket=(0.000022, 1.89634, -0.02012) center=(-0.039142, 1.896291, 0.041852)
HAT_RUNTIME_OK model=mr_poop id=beta_s1_level_30_hat width=0.900 height=0.482 socket=(0.000022, 1.89634, -0.02012) center=(-0.014978, 1.667113, 0.05488)
HAT_RUNTIME_OK model=mr_poop id=hat_chef width=0.691 height=0.732 socket=(0.000022, 1.89634, -0.02012) center=(-0.024978, 2.042622, 0.089859)
HAT_RUNTIME_OK model=mr_poop id=hat_cowboy_classic width=1.200 height=0.351 socket=(0.000022, 1.89634, -0.02012) center=(-0.027786, 1.899357, 0.059756)
HAT_RUNTIME_OK model=mr_poop id=hat_cowboy_wide width=0.926 height=0.429 socket=(0.000022, 1.89634, -0.02012) center=(-0.009978, 1.757685, 0.093016)
HAT_RUNTIME_OK model=mr_poop id=hat_crown width=0.950 height=0.807 socket=(0.000022, 1.89634, -0.02012) center=(0.000022, 2.00463, 0.00988)
HAT_RUNTIME_OK model=mr_poop id=hat_fedora_black width=0.955 height=0.442 socket=(0.000022, 1.89634, -0.02012) center=(-0.029978, 1.924508, 0.119076)
HAT_RUNTIME_OK model=mr_poop id=hat_fedora_white width=0.963 height=0.543 socket=(0.000022, 1.89634, -0.02012) center=(-0.014978, 1.792908, 0.077517)
HAT_RUNTIME_OK model=mr_poop id=hat_straw_adventurer width=0.900 height=0.275 socket=(0.000022, 1.89634, -0.02012) center=(-0.014978, 1.759009, 0.05988)
HAT_RUNTIME_OK model=mr_poop id=hat_top width=0.932 height=0.609 socket=(0.000022, 1.89634, -0.02012) center=(0.016238, 1.857767, 0.06988)
HAT_RUNTIME_OK model=mr_poop id=hat_witch width=1.352 height=1.062 socket=(0.000022, 1.89634, -0.02012) center=(-0.015698, 1.905859, 0.164475)
HAT_RUNTIME_OK model=mr_poop id=hat_yellow_point width=1.098 height=1.158 socket=(0.000022, 1.89634, -0.02012) center=(-0.024978, 1.880589, 0.188564)
HAT_MODEL_BOUNDS model=mr_salt center=(-1.130019, -0.000151, -0.014938) size=(3.183188, 3.996098, 0.878729) socket=(-0.000151, 2.56665, -0.005954)
HAT_RUNTIME_OK model=mr_salt id=beta_s1_ace_hat width=1.265 height=0.670 socket=(-0.000151, 2.56665, -0.005954) center=(-0.039316, 2.566601, 0.056018)
HAT_RUNTIME_OK model=mr_salt id=beta_s1_level_30_hat width=0.900 height=0.482 socket=(-0.000151, 2.56665, -0.005954) center=(-0.015151, 2.337423, 0.069046)
HAT_RUNTIME_OK model=mr_salt id=hat_chef width=0.691 height=0.732 socket=(-0.000151, 2.56665, -0.005954) center=(-0.025151, 2.712932, 0.104025)
HAT_RUNTIME_OK model=mr_salt id=hat_cowboy_classic width=1.200 height=0.351 socket=(-0.000151, 2.56665, -0.005954) center=(-0.027959, 2.569668, 0.073923)
HAT_RUNTIME_OK model=mr_salt id=hat_cowboy_wide width=0.926 height=0.429 socket=(-0.000151, 2.56665, -0.005954) center=(-0.010151, 2.427995, 0.107183)
HAT_RUNTIME_OK model=mr_salt id=hat_crown width=0.950 height=0.807 socket=(-0.000151, 2.56665, -0.005954) center=(-0.000151, 2.674941, 0.024046)
HAT_RUNTIME_OK model=mr_salt id=hat_fedora_black width=0.955 height=0.442 socket=(-0.000151, 2.56665, -0.005954) center=(-0.030151, 2.594818, 0.133243)
HAT_RUNTIME_OK model=mr_salt id=hat_fedora_white width=0.963 height=0.543 socket=(-0.000151, 2.56665, -0.005954) center=(-0.015151, 2.463217, 0.091684)
HAT_RUNTIME_OK model=mr_salt id=hat_straw_adventurer width=0.900 height=0.275 socket=(-0.000151, 2.56665, -0.005954) center=(-0.015151, 2.429319, 0.074047)
HAT_RUNTIME_OK model=mr_salt id=hat_top width=0.932 height=0.609 socket=(-0.000151, 2.56665, -0.005954) center=(0.016064, 2.528077, 0.084046)
HAT_RUNTIME_OK model=mr_salt id=hat_witch width=1.352 height=1.062 socket=(-0.000151, 2.56665, -0.005954) center=(-0.015871, 2.576169, 0.178642)
HAT_RUNTIME_OK model=mr_salt id=hat_yellow_point width=1.098 height=1.158 socket=(-0.000151, 2.56665, -0.005954) center=(-0.025151, 2.5509, 0.202731)
HAT_MODEL_BOUNDS model=spooky_witch center=(-1.417046, 0.000633, -0.038258) size=(4.979284, 4.963321, 2.172989) socket=(0.000633, 2.493237, -0.083365)
HAT_RUNTIME_OK model=spooky_witch id=beta_s1_ace_hat width=1.265 height=0.670 socket=(0.000633, 2.493237, -0.083365) center=(-0.038532, 2.493188, -0.021393)
HAT_RUNTIME_OK model=spooky_witch id=beta_s1_level_30_hat width=0.900 height=0.482 socket=(0.000633, 2.493237, -0.083365) center=(-0.014367, 2.26401, -0.008365)
HAT_RUNTIME_OK model=spooky_witch id=hat_chef width=0.691 height=0.732 socket=(0.000633, 2.493237, -0.083365) center=(-0.024367, 2.639518, 0.026614)
HAT_RUNTIME_OK model=spooky_witch id=hat_cowboy_classic width=1.200 height=0.351 socket=(0.000633, 2.493237, -0.083365) center=(-0.027175, 2.496254, -0.003488)
HAT_RUNTIME_OK model=spooky_witch id=hat_cowboy_wide width=0.926 height=0.429 socket=(0.000633, 2.493237, -0.083365) center=(-0.009367, 2.354582, 0.029772)
HAT_RUNTIME_OK model=spooky_witch id=hat_crown width=0.950 height=0.807 socket=(0.000633, 2.493237, -0.083365) center=(0.000633, 2.601527, -0.053365)
HAT_RUNTIME_OK model=spooky_witch id=hat_fedora_black width=0.955 height=0.442 socket=(0.000633, 2.493237, -0.083365) center=(-0.029367, 2.521405, 0.055831)
HAT_RUNTIME_OK model=spooky_witch id=hat_fedora_white width=0.963 height=0.543 socket=(0.000633, 2.493237, -0.083365) center=(-0.014367, 2.389805, 0.014272)
HAT_RUNTIME_OK model=spooky_witch id=hat_straw_adventurer width=0.900 height=0.275 socket=(0.000633, 2.493237, -0.083365) center=(-0.014367, 2.355906, -0.003365)
HAT_RUNTIME_OK model=spooky_witch id=hat_top width=0.932 height=0.609 socket=(0.000633, 2.493237, -0.083365) center=(0.016848, 2.454664, 0.006635)
HAT_RUNTIME_OK model=spooky_witch id=hat_witch width=1.352 height=1.062 socket=(0.000633, 2.493237, -0.083365) center=(-0.015087, 2.502756, 0.101231)
HAT_RUNTIME_OK model=spooky_witch id=hat_yellow_point width=1.098 height=1.158 socket=(0.000633, 2.493237, -0.083365) center=(-0.024367, 2.477486, 0.12532)
HAT_MODEL_BOUNDS model=goldfish_bag_man center=(-1.469362, -0.000655, 0.021769) size=(5.077252, 4.910602, 0.971323) socket=(-0.000655, 2.800006, -0.03238)
HAT_RUNTIME_OK model=goldfish_bag_man id=beta_s1_ace_hat width=1.265 height=0.670 socket=(-0.000655, 2.800006, -0.03238) center=(-0.03982, 2.799957, 0.029591)
HAT_RUNTIME_OK model=goldfish_bag_man id=beta_s1_level_30_hat width=0.900 height=0.482 socket=(-0.000655, 2.800006, -0.03238) center=(-0.015655, 2.570779, 0.04262)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_chef width=0.691 height=0.732 socket=(-0.000655, 2.800006, -0.03238) center=(-0.025655, 2.946287, 0.077598)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_cowboy_classic width=1.200 height=0.351 socket=(-0.000655, 2.800006, -0.03238) center=(-0.028463, 2.803023, 0.047496)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_cowboy_wide width=0.926 height=0.429 socket=(-0.000655, 2.800006, -0.03238) center=(-0.010655, 2.66135, 0.080756)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_crown width=0.950 height=0.807 socket=(-0.000655, 2.800006, -0.03238) center=(-0.000655, 2.908296, -0.00238)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_fedora_black width=0.955 height=0.442 socket=(-0.000655, 2.800006, -0.03238) center=(-0.030655, 2.828173, 0.106816)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_fedora_white width=0.963 height=0.543 socket=(-0.000655, 2.800006, -0.03238) center=(-0.015655, 2.696573, 0.065257)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_straw_adventurer width=0.900 height=0.275 socket=(-0.000655, 2.800006, -0.03238) center=(-0.015655, 2.662675, 0.04762)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_top width=0.932 height=0.609 socket=(-0.000655, 2.800006, -0.03238) center=(0.01556, 2.761432, 0.05762)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_witch width=1.352 height=1.062 socket=(-0.000655, 2.800006, -0.03238) center=(-0.016375, 2.809524, 0.152215)
HAT_RUNTIME_OK model=goldfish_bag_man id=hat_yellow_point width=1.098 height=1.158 socket=(-0.000655, 2.800006, -0.03238) center=(-0.025655, 2.784255, 0.176304)
HAT_COSMETICS_VALIDATION: PASS hats=12 models=8 previews=96
